Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Yoshinobu Yamamoto,26,SP,5.0,12,8,.600,2.49,30,30,0,0,0,0,173.2,113,53,48,14,59,0,201,3,0,5,684,167,2.94,0.990,5.9,0.7,3.1,10.4,3.41,AS,yamamyo01
2,Clayton Kershaw*,37,SP,1.6,11,2,.846,3.36,23,22,0,0,0,0,112.2,102,46,42,8,35,0,84,2,1,5,463,124,3.55,1.216,8.1,0.6,2.8,6.7,2.40,AS,kershcl01
3,Dustin May,27,SP,-0.4,6,7,.462,4.85,19,18,0,0,0,0,104.0,97,60,56,16,43,3,97,8,0,1,451,86,4.74,1.346,8.4,1.4,3.7,8.4,2.26,,maydu01
4,Tyler Glasnow,31,SP,1.9,4,3,.571,3.19,18,18,0,0,0,0,90.1,56,33,32,10,43,0,106,3,2,5,366,130,3.76,1.096,5.6,1.0,4.3,10.6,2.47,,glasnty01
5,Emmet Sheehan,25,SP,1.0,6,3,.667,2.82,15,12,0,0,0,0,73.1,49,29,23,7,22,0,89,2,0,2,291,147,2.93,0.968,6.0,0.9,2.7,10.9,4.05,,sheehem01
6,Shohei Ohtani,30,SP,1.1,1,1,.500,2.87,14,14,0,0,0,0,47.0,40,15,15,3,9,0,62,0,0,10,188,145,1.90,1.043,7.7,0.6,1.7,11.9,6.89,AS,ohtansh01
7,Tanner Scott*,30,CL,-0.6,1,4,.200,4.74,61,0,33,0,0,23,57.0,54,33,30,11,18,2,60,4,0,2,238,88,4.70,1.263,8.5,1.7,2.8,9.5,3.33,,scottta01
8,Jack Dreyer*,26,RP,1.3,3,2,.600,2.95,67,5,14,0,0,4,76.1,56,26,25,4,24,5,74,0,0,1,307,141,2.82,1.048,6.6,0.5,2.8,8.7,3.08,,dreyeja01
9,Anthony Banda*,31,RP,0.9,5,1,.833,3.18,71,1,15,0,0,0,65.0,45,23,23,8,34,6,61,2,0,7,268,131,4.52,1.215,6.2,1.1,4.7,8.4,1.79,,bandaan01
10,Alex Vesia*,29,RP,1.1,4,2,.667,3.02,68,0,11,0,0,5,59.2,37,21,20,9,22,3,80,5,0,3,237,138,3.77,0.989,5.6,1.4,3.3,12.1,3.64,,vesiaal01
11,Kirby Yates,38,RP,-0.5,4,3,.571,5.23,50,0,15,0,0,3,41.1,38,26,24,9,17,0,52,1,0,1,178,80,4.76,1.331,8.3,2.0,3.7,11.3,3.06,,yateski01
12,Ben Casparius,26,,-0.3,7,5,.583,4.64,46,3,6,0,0,2,77.2,78,41,40,8,21,0,71,3,0,1,333,90,3.57,1.275,9.0,0.9,2.4,8.2,3.38,,caspabe01
13,Justin Wrobleski*,24,,0.0,5,5,.500,4.32,24,2,9,0,0,2,66.2,65,34,32,6,17,1,76,3,0,1,280,96,2.93,1.230,8.8,0.8,2.3,10.3,4.47,,wroblju01
14,Blake Snell*,32,,1.3,5,4,.556,2.35,11,11,0,0,0,0,61.1,51,21,16,3,26,1,72,0,0,7,254,177,2.70,1.255,7.5,0.4,3.8,10.6,2.77,,snellbl01
15,Landon Knack,27,,-0.1,3,2,.600,4.89,10,7,1,0,0,1,42.1,40,25,23,10,19,0,42,2,0,1,185,85,5.71,1.394,8.5,2.1,4.0,8.9,2.21,,knackla01
16,Roki Sasaki,23,,0.3,1,1,.500,4.46,10,8,0,0,0,0,36.1,30,18,18,6,22,0,28,3,0,2,161,94,5.81,1.431,7.4,1.5,5.4,6.9,1.27,,sasakro01
17,Tony Gonsolin,31,,0.0,3,2,.600,5.00,7,7,0,0,0,0,36.0,33,21,20,9,18,0,38,3,0,1,157,84,6.02,1.417,8.3,2.3,4.5,9.5,2.11,,gonsoto01
18,Matt Sauer,26,,-0.7,2,1,.667,6.37,10,1,4,0,0,1,29.2,35,23,21,6,8,0,24,2,0,1,129,66,5.16,1.449,10.6,1.8,2.4,7.3,3.00,,sauerma01
19,Luis García,38,,-0.2,2,0,1.000,5.27,28,0,12,0,0,0,27.1,34,17,16,1,16,4,24,0,0,6,126,80,3.61,1.829,11.2,0.3,5.3,7.9,1.50,,garcilu03
20,Blake Treinen,37,,-0.6,2,7,.222,5.40,32,0,9,0,0,2,26.2,30,18,16,4,19,4,36,2,0,1,129,78,4.75,1.838,10.1,1.4,6.4,12.2,1.89,,treinbl01
21,Lou Trivino,33,,0.0,2,1,.667,3.76,26,2,1,0,0,0,26.1,29,12,11,2,8,1,18,4,1,1,115,112,4.12,1.405,9.9,0.7,2.7,6.2,2.25,,trivilo01
22,Edgardo Henriquez,23,,0.5,2,1,.667,2.37,22,0,3,0,0,1,19.0,17,5,5,2,5,0,18,0,0,2,78,178,3.40,1.158,8.1,0.9,2.4,8.5,3.60,,henried01
23,Will Klein,25,,0.2,1,1,.500,2.35,14,0,5,0,0,0,15.1,14,6,4,0,10,0,21,2,0,0,70,181,2.74,1.565,8.2,0.0,5.9,12.3,2.10,,kleinwi01
24,Michael Kopech,29,,0.2,0,0,,2.45,14,0,1,0,0,0,11.0,6,3,3,0,13,0,12,0,1,3,53,174,4.50,1.727,4.9,0.0,10.6,9.8,0.92,,kopecmi01
25,Alexis Díaz,28,,-0.1,1,0,1.000,5.00,9,0,1,0,0,0,9.0,7,5,5,2,2,0,9,2,0,0,38,86,5.36,1.000,7.0,2.0,2.0,9.0,4.50,,diazal03
26,Noah Davis,28,,-0.8,0,1,.000,19.50,5,0,2,0,0,0,6.0,10,14,13,3,5,0,8,4,0,0,35,23,11.47,2.500,15.0,4.5,7.5,12.0,1.60,,davisno01
27,Evan Phillips,30,,0.4,0,0,,0.00,7,0,1,0,0,1,5.2,4,0,0,0,2,0,6,0,0,0,22,,2.08,1.059,6.4,0.0,3.2,9.5,3.00,,phillev01
28,Kiké Hernández,33,,-0.4,0,0,,15.19,5,0,3,0,0,0,5.1,11,11,9,1,8,0,1,0,0,1,37,29,9.70,3.563,18.6,1.7,13.5,1.7,0.13,,hernaen02
29,Miguel Rojas,36,,-0.2,0,0,,12.60,4,0,4,0,0,0,5.0,11,7,7,3,2,0,0,1,0,0,28,35,12.74,2.600,19.8,5.4,3.6,0.0,0.00,,rojasmi02
30,Bobby Miller,26,,-0.3,0,0,,12.60,2,1,1,0,0,0,5.0,11,7,7,2,2,1,7,1,0,0,28,35,7.34,2.600,19.8,3.6,3.6,12.6,3.50,,millebo06
31,Yoendrys Gómez,25,,-0.2,0,0,,14.54,3,0,2,0,0,1,4.1,10,7,7,2,2,0,6,0,0,0,25,31,7.75,2.769,20.8,4.2,4.2,12.5,3.00,,gomezyo01
32,Chris Stratton,34,,0.0,0,0,,6.75,3,0,2,0,0,0,4.0,3,3,3,2,2,0,6,0,0,0,17,67,8.14,1.250,6.8,4.5,4.5,13.5,3.00,,stratch01
33,Brock Stewart,33,,0.0,0,1,.000,4.91,4,0,1,0,0,0,3.2,6,2,2,0,2,0,3,1,0,0,20,93,3.95,2.182,14.7,0.0,4.9,7.4,1.50,,stewabr01
34,Ryan Loutos,26,,-0.2,0,0,,15.00,2,0,2,0,0,0,3.0,4,5,5,1,2,0,2,1,0,0,16,31,9.14,2.000,12.0,3.0,6.0,6.0,1.00,,loutory01
35,Jack Little,27,,0.0,0,0,,6.00,2,0,2,0,0,0,3.0,4,2,2,0,1,0,2,1,0,0,14,78,3.80,1.667,12.0,0.0,3.0,6.0,2.00,,littlja02
36,José Ureña,33,,0.1,0,0,,3.00,2,0,0,0,0,0,3.0,4,1,1,0,1,1,2,0,0,1,13,155,2.80,1.667,12.0,0.0,3.0,6.0,2.00,,urenajo01
37,Paul Gervase,25,,0.0,0,0,,4.50,1,0,0,0,0,0,2.0,2,1,1,0,1,0,2,0,0,0,9,109,2.64,1.500,9.0,0.0,4.5,9.0,2.00,,gervapa01
38,Andrew Heaney*,34,,-0.2,0,0,,13.50,1,0,0,0,0,0,2.0,4,3,3,1,1,0,2,0,0,0,11,36,9.14,2.500,18.0,4.5,4.5,9.0,2.00,,heanean01
39,J.P. Feyereisen,32,,-0.3,0,1,.000,13.50,2,0,1,0,0,0,2.0,8,4,3,1,1,1,2,0,0,0,14,36,9.14,4.500,36.0,4.5,4.5,9.0,2.00,,feyerjo01
