,0
chip,132
potato,95
potato chip,72
lays,63
tortilla,46
tortilla chip,46
snack,42
cheese,37
lays potato chip,33
lays potato,33
fat,32
doritos,30
cheddar,26
salt,25
cheese snack,24
stacys,23
sea,22
cracker,21
original,21
sea salt,21
cheetos,21
stacys cracker,19
salted,19
tostitos,18
doritos tortilla chip,18
hot,18
rte,18
popcorn,18
rte popcorn,18
doritos tortilla,18
ruffles,17
simply,17
crisp,16
regular,16
grams trans,16
grams,16
trans,16
grams trans fat,16
trans fat,16
potato crisp,15
zero,15
zero grams trans fat,15
zero grams trans,15
smartfood,15
chip original,15
zero grams,15
flamin,14
lays kettle cooked,13
lays kettle,13
cooked potato,13
kettle cooked,13
lays kettle cooked potato chip,13
kettle cooked potato chip,13
lays kettle cooked potato,13
kettle,13
cooked,13
kettle cooked potato,13
cheetos cheese,13
flamin hot,13
cheetos cheese snack,13
cooked potato chip,13
sabritas,12
rold,11
white,11
ruffles potato,11
ruffles potato chip,11
onion,11
gold,11
pretzel,11
rold gold,11
assorted,11
white cheddar,11
cream,10
ranch,10
sunchips,10
fritos,9
sour,9
less fat,9
less,9
tortilla chip original,9
jalapeno,9
sour cream,9
garlic,8
baked,8
rold gold pretzel,8
gold pretzel,8
chili,8
corn chip,8
wavy lays potato,8
wavy lays potato chip,8
tostitos tortilla,8
tostitos tortilla chip,8
limon,8
wavy,8
wavy lays,8
smartfood rte popcorn,8
red,8
smartfood rte,8
spicy,8
salted snacks,7
delight,7
smartfood delight rte popcorn,7
delight rte popcorn,7
smartfood delight rte,7
delight rte,7
smartfood delight,7
mix,7
astss salted,7
sweet,7
barbecue,7
fritos corn chip,7
fritos corn,7
astss salted snacks,7
astss,7
snacks,7
chesters,7
